,titles,sources
0,2 Gaya Berbeda Jokowi Saat Tes Kesehatan di RSPAD,detik.com
1,Cerita Jokowi-Maruf yang Anti-Capek Tes Kesehatan 12 Jam Lebih,detik.com
2,JK Ditunjuk Jadi Ketua Tim Penasihat Jokowi-Maruf Amin,detik.com
3,"Jadi Cawapres Jokowi, Maruf Serahkan soal Posisi Ketum ke MUI",detik.com
4,"Soal Usul AHY Jadi Juru Kampanye, PD: Tergantung Prabowo",detik.com
5,Sekjen Golkar-PPP-PKB-NasDem-Hanura Jadi Waka Tim Kampanye Jokowi,detik.com
6,"Usai 12 Jam Tes Kesehatan, Maruf Amin: Lebih Lelah Ibadah Haji",detik.com
7,Gaya Putri Maruf Amin Antar Ayahnya Tes Kesehatan di RSPAD,detik.com
8,Potret Bodi Kekar Kaesang Saat Temani Jokowi Tes Kesehatan,detik.com
9,Foto Jokowi-Maruf Amin Pakai Baju Pasien Sebelum Tes Kesehatan,detik.com
10,Foto: Beda Gaya Pakaian Jokowi-Maruf saat Tes Kesehatan di RSPAD,detik.com
11,Foto: Jokowi-Maruf Jalani Tes Kesehatan di RSPAD,detik.com
12,Potret Anak-anak Mahfud MD yang Ternyata Berprofesi Sebagai Dokter,detik.com
13,Jokowi Ungkap Tes Kesehatannya Lebih Cepat Dibanding Maruf,detik.com
14,"Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
15,Jokowi: JK Bersedia Jadi Ketua Tim Pemenangan Jokowi-Maruf,detik.com
16,Tahapan Pemilihan Presiden 2019,detik.com
17,Peluang Duet Prabowo-AHY dan Sejarah Koalisi Gerindra-PD,detik.com
18,Mereka Calon Lawan Tanding Jokowi,detik.com
19,Mega dan Keputusan Penting dari Istana Batu Tulis,detik.com
20,"Kisah Unik Perpolitikan Indonesia: Dulu Kawan, Kini Lawan",detik.com
21,Pemanasan Jokowi Vs Prabowo Jelang Pilpres 2019,detik.com
22,Sederet Nama Sekjen Parpol Tim Kampaye Jokowi-Maruf,detik.com
23," Akhirnya, Jokowi-Maruf Amin Selesai Jalani Tes Kesehatan",detik.com
24,PPP Sindir Sandi Santri Dadakan,detik.com
25,"Nggak Cuma Prabowo-Sandi, Situs Jokowi-Maruf Dijual Rp 2 M",detik.com
26,Mulai Besok Jurkam Jokowi-Maruf Amin Mulai Latihan,detik.com
27,Kata Luhut Soal Alasan Jokowi Pilih Maruf Amin,detik.com
28,Sandiaga yang Tak Henti-henti Dengungkan Partai Emak-emak,detik.com
29,"Luhut: Usai Keluar Penjara, Ahok Kampanyekan Jokowi",detik.com
30,"Kemeja Bersih, Merakyat, Kerja Nyata Jokowi yang Kian Mentereng",detik.com
31,"Kaesang: Bapak Tinju Aja Bisa, Masa Cek Kesehatan Nggak Bisa",detik.com
32,Jokowi Hadiri Rapat Bareng Sekjen Koalisi di Posko Cemara,detik.com
33,"Usai Tes Kesehatan, Jokowi Langsung Rapat dengan Sekjen Koalisi",detik.com
34,"Lebih 12 Jam, Jokowi-Maruf Selesai Jalani Tes Kesehatan di RSPAD",detik.com
35,Kubu-Kubuan Politik dan Pelajaran Rekonsiliasi,detik.com
36,Marhaban Duet Jokowi-Maruf Amin,detik.com
37,Skenario Politik Prabowo,detik.com
38,"Pendukung Prabowo Jalan Kaki, Begini Suasana di Menteng",detik.com
39,"Prabowo-Sandiaga Daftar ke KPU, Lalin Macet",detik.com
40,"Jokowi Menuju KPU, Begini Suasana di Depan Gedung Joang 45",detik.com
41,Relawan Jokowi Kenakan Pakaian Adat di Gedung Joang 45,detik.com
42,"Lebih 12 Jam, Jokowi-Maruf Selesai Jalani Tes Kesehatan di RSPAD",detik.com
43,PPP Sindir Sandi Santri Dadakan,detik.com
44,Senyum Iriana Usai Temani Jokowi Tes Kesehatan Hampir 11 Jam,detik.com
45,Jokowi Kini Punya 11 Direktorat di Tim Pemenangan,detik.com
